Unnamed: 0,Polish,English
0,nie ,NO 
1,to ,this 
2,się ,myself 
3,na ,on 
4,co ,What 
5,że ,That 
6,jest ,Is 
7,do ,down 
8,tak ,Yes 
9,jak ,How 
10,mnie ,me 
11,ale ,But 
12,mi ,to me 
13,za ,behind 
14,ja ,I 
15,ci ,you 
16,tu ,here 
17,go ,him 
18,tego ,this 
19,tym ,this 
20,ty ,you 
21,czy ,Whether 
22,tylko ,Just 
23,po ,after 
24,jestem ,I am 
25,cię ,you 
26,ma ,has 
27,może ,Maybe 
28,już ,Already 
29,mam ,I have 
30,jesteś ,You are 
31,pan ,Mr 
32,coś ,something 
33,dla ,For 
34,wiem ,I know 
35,dobrze ,All right 
36,jeśli ,If 
37,od ,From 
38,teraz ,Now 
39,proszę ,Please 
40,tam ,over there 
41,wszystko ,All 
42,masz ,You have 
43,więc ,So 
44,nic ,nothing 
45,być ,to be 
46,będzie ,will be 
47,gdzie ,Where 
48,są ,are 
49,on ,he 
50,mogę ,I can 
51,ten ,this 
52,ciebie ,you 
53,sobie ,yourself 
54,wiesz ,You know 
55,ze ,That 
56,bardzo ,Very 
57,jej ,her 
58,kiedy ,When 
59,był ,was 
60,jeszcze ,still 
61,nas ,us 
62,chcę ,I want 
63,mój ,my 
64,było ,was 
65,no ,yeah 
66,przez ,By 
67,by ,by 
68,pani ,you 
69,ją ,I 
70,jego ,his 
71,ich ,their 
72,dlaczego ,Why 
73,chcesz ,You want 
74,żeby ,To 
75,tutaj ,here 
76,mamy ,We have 
77,też ,Too 
78,bo ,because 
79,dobra ,All right 
80,kto ,Who 
81,nigdy ,Never 
82,przepraszam ,Sorry 
83,mu ,him 
84,naprawdę ,Really 
85,możesz ,You can 
86,chyba ,I guess 
87,porządku ,okay 
88,dziękuję ,Thank you 
89,muszę ,I have to 
90,panie ,sir 
91,właśnie ,Exactly 
92,ona ,She 
93,domu ,home 
94,zrobić ,to do 
95,nawet ,even 
96,gdy ,When 
97,prawda ,True 
98,te ,these 
99,nam ,U.S 
100,będę ,I will 
101,zawsze ,Always 
102,bez ,without 
103,nim ,him 
104,je ,eats 
105,była ,was 
106,jesteśmy ,We are 
107,dzięki ,Thanks 
108,tej ,this one 
109,moja ,My 
110,trochę ,A bit 
111,ktoś ,someone 
112,musisz ,you have to 
113,cześć ,Hi 
114,hej ,Hi 
115,lat ,years 
116,moje ,my 
117,pana ,Mr 
118,musimy ,we have to 
119,dalej ,next 
120,twój ,your 
121,wszyscy ,all 
122,czas ,time 
123,chce ,I want 
124,który ,which 
125,więcej ,more 
126,tobą ,you 
127,boże ,God 
128,powiedzieć ,to say 
129,sam ,alone 
130,chodzi ,goes 
131,czego ,what 
132,ta ,yeah 
133,możemy ,We can 
134,albo ,or 
135,mną ,me 
136,razem ,Together 
137,niech ,let 
138,dobry ,Good 
139,raz ,once 
140,stało ,happened 
141,was ,mustache 
142,czym ,what 
143,prostu ,simply 
144,będziesz ,you will 
145,chodź ,come 
146,czemu ,Why 
147,przed ,Before 
148,ludzi ,people 
149,daj ,give 
150,ludzie ,People 
152,przy ,by 
153,życie ,life 
154,niż ,than 
155,robisz ,you do 
156,myślę ,I think 
157,lepiej ,Better 
158,kim ,Who is 
159,myślisz ,Do you think 
160,miał ,had 
161,my ,we 
162,nikt ,nobody 
163,czasu ,time 
164,powiedz ,Say 
165,rzeczy ,things 
166,twoja ,your 
167,tych ,these 
168,stąd ,hence 
169,niego ,him 
170,mówi ,says 
171,im ,them 
172,temu ,ago 
173,jeden ,one 
174,pod ,under 
175,musi ,has to 
176,siebie ,myself 
177,twoje ,your 
178,powiedział ,he said 
179,oczywiście ,Of course 
180,ok ,Approx 
181,moim ,my 
182,oni ,they 
183,dwa ,two 
184,które ,which 
185,pewnie ,Sure 
186,dziś ,today 
187,kurwa ,whore 
188,wie ,he knows 
189,taki ,such 
190,aby ,To 
191,skąd ,from where 
192,cholera ,cholera 
193,dzieje ,happening 
194,wygląda ,looks 
195,wtedy ,then 
196,mojego ,mine 
197,takie ,such 
198,ile ,how much 
199,wszystkie ,all 
200,mieć ,to have 
201,dlatego ,Which is why 
202,znaczy ,means 
203,będziemy ,we will 
204,potem ,later 
205,jasne ,Of course 
206,iść ,to go 
207,dużo ,A lot 
208,cóż ,Well 
209,tę ,these 
210,byłem ,I was 
211,rozumiem ,I see 
212,wam ,you 
213,miejsce ,place 
214,cały ,whole 
215,trzeba ,it's necessary to 
216,moją ,My 
217,można ,you can 
218,pomóc ,help 
219,jako ,as 
220,nich ,them 
221,szybko ,Quick 
222,jakiś ,some 
223,mojej ,mine 
224,nią ,her 
225,mają ,May 
226,wszystkich ,everyone 
227,jakieś ,some 
228,wiedzieć ,know 
229,swoje ,own 
230,przykro ,I'm sorry 
231,stary ,old 
232,zaraz ,In a second 
233,myśli ,thinks 
234,dzieci ,kids 
235,nad ,above 
236,wiele ,many 
237,kochanie ,Honey 
238,kilka ,several 
239,mówię ,I say 
240,mówisz ,you say 
241,zanim ,before 
242,miałem ,I had 
243,kocham ,I love 
244,świetnie ,Great 
246,takiego ,like this 
247,tyle ,so much 
248,robić ,to do 
249,trzy ,Three 
250,idź ,go 
251,kogoś ,someone 
252,ani ,or 
253,pewno ,surely 
254,myślałem ,I thought 
255,widzisz ,You see 
256,kiedyś ,Once 
257,robi ,does 
258,widzę ,I see 
259,jaki ,What 
260,niej ,her 
261,ojciec ,father 
262,zbyt ,too 
263,która ,which 
264,zobaczyć ,see 
265,przestań ,Stop 
266,sposób ,way 
267,pracy ,work 
268,dzisiaj ,Today 
269,sie  (sie could be a common misspelling mistake; should be się),sie (sie could be a common misspelling mistake; should be made)
270,później ,Later 
271,bardziej ,more 
272,będą ,they will 
273,aż ,until 
274,życia ,life 
275,jutro ,Tomorrow 
276,tą ,this one 
277,rację ,right 
278,żebyś ,you 
279,długo ,long 
280,tato ,dad 
281,każdy ,everyone 
282,twoim ,yours 
283,chciałem ,I wanted 
284,dni ,days 
285,twojej ,your 
286,nadzieję ,hope 
287,stanie ,standing 
288,koniec ,end 
289,znam ,I know 
290,mamo ,Mom 
291,swoją ,yours 
292,problem ,problem 
293,żyje ,is alive 
294,potrzebuję ,I need 
295,widziałem ,I saw 
296,spokój ,composure 
297,powiem ,I will say 
298,minut ,minutes 
299,broń ,weapon 
300,panu ,sir 
301,mógł ,could 
302,nami ,us 
303,wy ,You 
304,nocy ,night 
305,wciąż ,still 
306,znowu ,again 
307,pieniądze ,money 
308,imię ,name 
309,dnia ,day 
310,zabić ,kill 
311,drzwi ,door 
312,pierwszy ,first 
313,taka ,like that 
314,nasz ,our 
315,posłuchaj ,listen 
316,ponieważ ,Because 
317,słuchaj ,listen 
318,jakie ,What 
319,gdyby ,if 
320,miło ,Nice 
321,spójrz ,look 
322,chciałbym ,I'd like 
323,sir ,sir 
324,razie ,for now 
325,nasze ,our 
326,dokładnie ,Exactly 
327,czuję ,I feel 
328,zrobił ,he did 
329,dobre ,Good 
330,samo ,itself 
331,nadal ,still 
